Student_ID,Gender,Age,Class,Attendance,Study_Hours,Assignments_Completed,Quiz_Score,Midterm_Marks,Final_Exam_Marks,Internet_Access,Parental_Education,Extra_Curricular,Sleep_Hours,Previous_Grade,Performance
55,Female,22,9,64.3,5.6,13.6,75.0,81.7,91.4,No,Master,Yes,9.7,C,Poor
56,Female,21,10,77.0,4.0,7.3,63.3,80.1,87.9,Yes,Master,Yes,9.9,A,Poor
57,Other,21,9,58.8,5.7,13.0,50.9,55.6,59.6,No,Bachelor,No,8.6,D,Poor
58,Female,19,11,92.6,6.2,11.2,43.1,97.1,53.5,Yes,High School,Yes,9.7,B,Poor
59,Other,15,10,65.7,6.2,1.7,96.9,67.9,55.4,No,Secondary,Yes,8.7,B,Poor
60,Male,19,9,96.8,7.3,13.6,62.5,96.5,51.9,Yes,High School,No,9.1,A,Poor
61,Female,15,12,84.8,1.8,9.7,40.8,65.2,69.4,No,Bachelor,No,8.2,D,Poor
62,Other,17,11,82.7,11.1,11.6,67.9,89.5,75.5,No,Secondary,Yes,5.7,D,Poor
63,Female,18,12,70.1,6.4,4.9,69.3,61.3,55.5,No,Bachelor,Yes,7.1,B,Poor
64,Male,16,12,77.0,9.3,10.4,78.8,69.4,87.6,Yes,Bachelor,Yes,6.4,B,Poor
65,Other,19,11,76.3,6.8,6.4,84.8,59.8,82.2,No,Bachelor,No,5.4,B,Poor
66,Male,20,10,63.6,9.1,4.1,75.4,85.6,75.8,Yes,Secondary,No,5.4,B,Poor
67,Male,19,10,67.3,11.7,8.3,81.8,47.6,92.1,No,High School,Yes,7.4,D,Poor
68,Female,22,11,63.3,1.6,14.1,68.7,89.3,64.0,Yes,High School,Yes,4.9,C,Poor
69,Male,16,9,80.1,5.6,8.9,77.1,86.5,62.8,No,Bachelor,No,5.8,A,Poor
70,Male,16,10,66.9,1.9,3.6,73.1,49.4,64.5,No,Bachelor,Yes,5.4,C,Poor
71,Male,22,10,96.6,9.7,9.4,79.7,96.0,65.5,Yes,Secondary,No,9.0,A,Poor
72,Male,15,11,81.8,10.1,13.8,66.3,68.1,58.2,No,Bachelor,No,6.6,A,Poor
73,Other,21,11,82.2,1.3,3.4,80.5,91.6,75.2,Yes,Bachelor,Yes,8.6,B,Poor
74,Other,22,12,96.2,3.0,8.8,78.1,69.5,45.5,No,Master,No,5.9,A,Poor
75,Female,17,12,86.2,4.2,14.2,88.8,73.0,67.3,No,Bachelor,No,4.7,D,Poor
76,Other,15,12,73.6,3.1,5.4,85.4,77.5,85.6,Yes,Bachelor,Yes,9.6,D,Poor
77,Male,22,9,98.8,7.7,3.6,49.5,73.1,73.1,Yes,Secondary,Yes,6.8,A,Poor
78,Female,17,11,77.9,4.0,12.5,98.8,54.6,73.1,No,Secondary,Yes,9.2,C,Poor
79,Female,21,11,91.9,4.1,4.5,75.2,99.9,69.4,Yes,Master,No,6.1,D,Poor
80,Female,22,10,99.1,3.6,5.7,91.4,64.6,59.1,No,Master,No,9.9,B,Poor
81,Male,22,10,77.6,7.5,13.0,92.5,66.4,71.6,No,High School,Yes,6.5,B,Poor
82,Female,16,11,70.2,8.6,9.7,91.1,91.1,91.6,No,Bachelor,No,9.2,A,Poor
83,Male,16,11,99.9,9.2,6.5,45.9,78.0,92.4,No,Secondary,No,9.4,A,Poor
84,Male,20,11,71.1,5.7,3.7,64.7,80.9,50.8,Yes,High School,No,7.7,B,Poor
85,Other,22,10,65.4,8.0,6.9,80.0,93.9,67.9,No,Secondary,Yes,6.7,C,Poor
86,Other,19,12,86.1,6.0,4.5,100.0,91.2,46.4,No,Bachelor,No,10.0,C,Poor
87,Other,15,12,67.4,7.2,10.3,84.7,42.9,76.4,No,Bachelor,Yes,7.6,C,Poor
88,Other,18,10,82.9,8.5,10.8,79.6,90.3,77.7,Yes,Bachelor,No,4.2,C,Poor
89,Male,17,11,69.7,5.6,3.0,87.2,92.6,62.0,No,Secondary,No,9.5,D,Poor
90,Other,19,11,91.2,6.2,1.1,85.2,53.5,80.6,No,Bachelor,Yes,8.7,A,Poor
91,Other,19,9,75.5,8.4,10.1,75.1,89.3,96.4,Yes,Secondary,No,4.2,C,Poor
92,Other,18,9,83.6,6.1,10.5,79.0,47.0,42.7,Yes,Bachelor,No,4.7,B,Poor
93,Female,17,12,71.7,11.4,10.4,72.4,75.2,83.6,No,High School,No,7.7,C,Poor
94,Other,15,11,64.8,5.9,3.5,61.8,98.9,62.0,No,High School,No,5.7,A,Poor
95,Male,22,10,83.9,7.6,0.3,87.2,54.6,47.6,Yes,High School,Yes,7.5,B,Poor
96,Male,20,9,67.5,11.8,14.8,72.4,87.9,46.6,Yes,Secondary,Yes,6.1,B,Poor
97,Male,20,10,66.9,2.4,6.3,46.8,43.8,66.9,No,High School,No,7.0,A,Poor
98,Female,19,9,57.7,6.3,6.0,81.2,69.4,94.6,Yes,High School,No,7.6,A,Poor
99,Female,17,11,72.1,7.6,4.4,70.3,65.8,87.6,Yes,Secondary,No,6.7,B,Poor
100,Female,21,12,72.9,9.0,4.7,58.8,55.3,97.2,No,High School,Yes,9.0,A,Poor
101,Male,21,11,91.5,7.1,8.8,73.7,59.8,47.3,No,Master,Yes,9.8,C,Poor
102,Male,20,10,62.0,6.3,12.7,61.0,73.4,46.9,No,Secondary,No,9.1,A,Poor
103,Male,19,10,67.3,9.4,13.8,61.1,50.9,48.6,No,High School,Yes,8.4,A,Poor
104,Other,16,10,71.9,6.0,2.4,58.7,59.5,96.5,Yes,High School,Yes,4.9,A,Poor
105,Female,16,12,84.8,6.3,6.6,56.4,85.3,46.8,No,High School,No,8.1,D,Poor
106,Male,19,10,72.8,7.6,0.1,58.1,52.7,48.2,No,Bachelor,No,4.7,D,Poor
107,Male,21,10,72.1,8.7,7.5,90.0,88.4,44.3,Yes,Master,Yes,6.8,A,Poor
108,Other,20,12,80.8,8.8,6.3,46.9,41.3,59.5,No,Bachelor,Yes,6.6,A,Poor
109,Female,18,12,78.6,5.4,4.7,60.4,60.0,50.1,Yes,Secondary,No,6.1,B,Poor
110,Male,18,10,66.5,2.9,2.3,85.5,44.5,97.1,No,Master,No,8.1,C,Poor
111,Male,20,12,58.1,5.9,4.5,56.5,43.4,70.4,No,Master,No,4.2,C,Poor
112,Male,19,9,82.7,6.6,6.9,73.3,87.5,93.8,No,Secondary,No,7.6,B,Poor
113,Female,15,9,91.5,10.2,14.7,45.1,78.8,42.3,No,Master,Yes,6.2,C,Poor
114,Female,21,11,85.6,1.6,9.5,60.1,59.8,73.5,No,Bachelor,No,8.3,B,Poor
115,Male,20,10,96.3,4.4,9.8,79.7,47.7,82.5,Yes,Bachelor,No,7.9,C,Poor
116,Other,17,9,84.1,5.7,5.4,61.8,50.8,52.9,No,Secondary,Yes,10.0,B,Poor
117,Female,16,9,77.8,6.9,11.1,71.6,79.7,92.6,Yes,Master,Yes,5.0,B,Poor
118,Male,22,12,71.4,8.9,14.5,76.6,85.1,87.0,Yes,Secondary,No,9.8,D,Poor
119,Female,18,12,75.8,4.1,5.7,71.6,98.0,89.0,Yes,Bachelor,Yes,7.8,C,Poor
120,Other,16,9,67.8,9.4,4.1,94.3,48.8,66.2,Yes,Master,No,9.6,D,Poor
121,Female,15,11,65.6,11.9,5.6,41.7,95.8,90.4,No,Secondary,Yes,4.2,D,Poor
122,Other,17,12,75.2,1.1,1.2,55.4,90.1,72.9,No,High School,No,5.4,A,Poor
123,Male,15,12,83.8,7.9,0.9,90.2,70.0,72.2,Yes,Secondary,No,6.6,C,Poor
124,Other,18,12,63.4,8.4,7.9,61.6,97.2,72.6,Yes,Master,No,4.3,D,Poor
125,Female,20,9,71.1,1.7,3.6,79.4,46.2,74.9,No,Secondary,Yes,6.1,C,Poor
126,Other,17,12,99.1,6.3,2.7,48.1,83.0,96.6,Yes,Bachelor,Yes,4.3,B,Poor
127,Female,15,11,78.2,11.9,8.1,55.2,85.2,51.5,No,High School,No,5.6,C,Poor
128,Female,21,12,95.3,5.3,14.6,69.8,69.9,95.5,No,High School,No,4.5,B,Poor
129,Female,19,9,58.6,8.3,4.6,76.2,65.6,81.4,No,Master,Yes,8.4,C,Poor
130,Female,21,9,58.4,8.0,5.4,88.1,80.8,97.2,Yes,Master,Yes,4.8,B,Poor
131,Female,20,12,97.7,1.4,2.3,67.0,62.3,66.6,Yes,Secondary,No,6.4,C,Poor
132,Male,18,9,88.1,6.5,5.8,73.7,55.7,55.6,No,Secondary,No,8.2,D,Poor
133,Male,18,10,93.4,6.0,13.5,66.7,45.3,80.9,No,Bachelor,Yes,7.3,C,Poor
134,Male,19,10,90.7,6.6,1.8,52.1,48.3,87.4,Yes,Bachelor,No,6.8,B,Poor
135,Male,16,11,72.9,8.9,7.2,64.6,64.6,74.5,Yes,Bachelor,Yes,6.7,C,Poor
136,Other,17,10,89.6,2.4,7.5,92.1,89.9,71.1,No,Secondary,Yes,5.9,B,Poor
137,Other,20,11,93.1,3.8,9.5,73.1,47.5,58.2,Yes,Secondary,Yes,5.0,C,Poor
138,Male,15,9,57.0,8.1,8.7,79.1,86.0,65.0,Yes,Master,No,7.9,C,Poor
139,Male,22,12,68.4,1.8,0.9,66.4,69.1,52.2,Yes,Bachelor,No,8.4,C,Poor
140,Male,21,11,78.2,2.2,3.6,47.4,67.0,48.5,Yes,Bachelor,No,9.2,D,Poor
141,Male,18,11,97.0,8.9,2.8,49.6,99.8,68.0,No,Master,Yes,4.5,D,Poor
142,Male,22,10,81.3,1.5,4.2,75.9,90.6,80.4,No,High School,Yes,6.6,C,Poor
143,Female,20,11,57.0,1.6,8.4,61.8,57.3,63.2,No,Bachelor,Yes,4.8,A,Poor
144,Female,21,11,80.1,5.0,2.2,76.1,64.1,42.4,Yes,Secondary,No,8.8,D,Poor
145,Other,17,10,69.8,7.7,2.4,99.4,84.4,58.0,No,Master,No,6.8,A,Poor
146,Female,20,9,99.1,7.4,12.0,83.5,81.3,41.6,No,Bachelor,Yes,8.3,D,Poor
147,Other,17,12,61.6,8.5,0.5,96.9,46.6,41.1,No,Master,Yes,6.5,B,Poor
148,Other,21,12,94.3,9.1,0.9,48.3,52.4,59.5,No,Master,No,9.7,D,Poor
149,Other,20,11,85.4,10.5,10.2,88.2,55.9,69.1,Yes,Bachelor,No,5.3,C,Poor
150,Other,19,10,86.1,6.4,7.2,73.6,96.1,83.3,No,High School,No,9.4,D,Poor
151,Male,20,11,56.9,11.5,1.2,95.4,79.4,84.8,Yes,Secondary,No,9.6,C,Poor
152,Male,17,10,65.9,8.4,8.0,78.3,43.1,64.8,No,High School,Yes,4.0,B,Poor
153,Other,21,12,76.5,3.2,14.5,59.3,78.8,94.5,Yes,Secondary,Yes,9.5,B,Poor
154,Male,21,9,99.9,5.4,7.4,96.2,97.7,95.6,Yes,High School,No,7.4,A,Poor
155,Female,20,12,99.5,7.0,7.4,96.3,91.1,68.1,Yes,High School,No,5.0,D,Poor
156,Other,19,10,55.6,4.7,4.4,80.5,51.6,76.7,No,Master,No,4.5,A,Poor
157,Male,17,12,69.6,3.7,3.9,54.1,85.2,97.2,No,High School,No,7.9,B,Poor
158,Other,15,9,75.9,2.8,10.3,95.4,93.3,86.2,Yes,Bachelor,No,7.7,B,Poor
159,Female,17,10,75.5,11.9,5.6,82.1,94.8,85.4,Yes,Secondary,Yes,7.2,C,Poor
160,Other,16,9,57.8,7.0,7.6,74.4,49.0,59.7,No,High School,Yes,8.3,D,Poor
161,Other,16,12,91.4,6.0,7.7,67.4,43.5,67.7,No,High School,No,5.5,A,Poor
162,Other,18,9,57.0,4.8,1.0,99.6,96.1,44.1,No,High School,No,6.5,B,Poor
163,Female,21,12,75.2,11.1,5.7,44.8,97.8,92.5,Yes,Bachelor,Yes,5.1,D,Poor
164,Other,17,10,92.6,9.3,14.7,67.8,83.1,65.4,No,Secondary,Yes,6.8,B,Poor
165,Male,19,9,56.4,8.3,9.2,96.2,93.3,54.4,Yes,High School,Yes,6.7,A,Poor
166,Other,18,9,73.1,3.6,3.3,91.8,43.4,70.2,No,Secondary,No,7.5,C,Poor
167,Female,18,10,99.4,6.7,6.2,56.5,73.4,75.5,Yes,Master,No,4.3,C,Poor
168,Other,21,11,86.3,5.5,4.5,51.0,72.3,54.5,Yes,Bachelor,Yes,8.8,A,Poor
169,Female,21,10,72.5,3.8,5.0,44.7,67.0,62.3,Yes,High School,No,6.3,A,Poor
170,Male,16,10,76.6,10.6,5.0,97.4,40.9,96.2,Yes,Master,Yes,8.2,B,Poor
171,Male,21,11,89.9,5.2,8.0,61.6,55.7,70.8,No,Master,Yes,8.8,D,Poor
172,Male,20,11,69.1,1.5,13.0,84.5,41.0,73.2,No,Bachelor,Yes,5.2,B,Poor
173,Other,21,10,77.5,8.2,10.3,55.4,89.3,98.0,No,Master,Yes,8.4,C,Poor
174,Male,17,12,63.3,10.8,14.9,97.4,71.4,90.3,Yes,High School,Yes,6.5,B,Poor
175,Other,16,10,55.4,6.6,5.6,77.1,80.0,77.0,No,Master,Yes,4.0,D,Poor
176,Male,15,11,79.1,4.2,7.5,81.9,65.8,96.4,Yes,High School,Yes,7.1,B,Poor
177,Other,18,11,91.7,3.9,6.0,62.4,64.4,73.9,Yes,Bachelor,Yes,7.9,A,Poor
178,Female,16,12,72.0,6.2,9.6,82.2,45.0,90.7,No,High School,Yes,5.4,D,Poor
179,Male,19,9,85.8,4.1,8.1,79.5,50.8,91.0,Yes,Secondary,Yes,8.5,D,Poor
180,Female,16,10,80.4,7.2,12.7,80.6,72.4,63.0,Yes,High School,No,4.3,D,Poor
181,Male,18,11,82.2,7.8,8.9,98.1,59.6,78.0,No,Master,Yes,6.1,D,Poor
182,Male,21,12,58.9,7.8,12.0,82.8,44.9,49.3,Yes,Master,No,6.2,A,Poor
183,Female,15,12,71.2,4.0,2.0,51.2,66.9,73.3,No,High School,Yes,4.5,A,Poor
184,Female,20,9,68.1,5.3,1.3,94.1,94.3,98.7,Yes,Master,Yes,4.8,C,Poor
185,Female,19,10,57.8,5.8,6.3,69.1,44.6,55.1,Yes,Master,Yes,6.7,B,Poor
186,Male,19,12,69.9,7.8,12.1,59.8,60.1,88.9,Yes,Bachelor,No,7.6,B,Poor
187,Female,22,10,98.4,11.7,4.4,81.7,69.5,74.6,Yes,Bachelor,No,5.7,D,Poor
188,Male,20,10,81.7,7.0,10.2,73.0,97.2,67.7,Yes,Master,No,9.0,A,Poor
189,Other,21,12,61.3,4.3,3.8,49.2,65.4,62.6,No,Master,No,7.2,D,Poor
190,Female,15,9,59.9,3.7,10.0,50.0,76.8,73.8,No,Bachelor,No,4.6,A,Poor
191,Male,19,10,75.1,5.3,11.6,75.3,70.0,60.7,Yes,Master,Yes,5.8,A,Poor
192,Other,16,10,70.7,4.8,11.8,71.3,60.9,45.9,No,Bachelor,Yes,5.8,A,Poor
193,Female,15,9,85.5,2.8,14.8,54.6,50.5,49.6,No,Master,Yes,8.8,B,Poor
194,Other,17,12,72.8,9.1,13.2,67.0,65.8,40.3,Yes,Secondary,No,8.5,A,Poor
195,Other,16,10,71.5,3.2,1.7,80.2,69.4,98.0,No,Master,No,7.5,C,Poor
196,Female,20,10,91.6,8.8,4.5,76.9,45.1,48.0,Yes,Secondary,No,4.7,C,Poor
197,Other,17,12,73.8,2.5,5.8,51.1,78.1,81.6,Yes,Secondary,No,5.7,B,Poor
198,Female,20,9,93.9,11.5,7.3,51.7,63.0,73.7,No,Master,No,6.5,D,Poor
199,Male,22,9,80.4,9.8,3.3,42.0,53.5,57.3,No,Master,Yes,7.4,C,Poor
200,Other,20,9,89.2,5.9,3.3,65.5,84.2,79.2,Yes,Bachelor,Yes,6.7,C,Poor
201,Female,16,9,89.9,3.6,12.2,75.3,61.0,82.6,No,Secondary,Yes,8.7,B,Poor
202,Other,15,11,79.0,7.6,2.5,98.7,57.6,74.4,Yes,Secondary,No,9.5,C,Poor
203,Other,17,10,66.2,8.8,12.4,85.7,80.6,69.4,No,Master,No,6.7,A,Poor
204,Other,21,11,86.3,10.7,6.8,69.3,74.9,92.1,Yes,Master,No,9.1,D,Poor
205,Female,18,10,77.3,4.6,4.3,72.8,47.8,91.1,No,High School,Yes,4.6,D,Poor
206,Male,15,10,74.9,1.0,14.4,52.1,81.3,47.9,No,Secondary,No,4.6,C,Poor
207,Male,19,11,84.9,8.1,0.8,77.5,83.6,85.3,No,High School,Yes,4.0,D,Poor
208,Male,16,10,78.4,5.9,0.1,60.6,47.2,91.6,Yes,Master,Yes,5.4,A,Poor
209,Male,16,11,71.5,4.3,5.7,88.8,92.5,78.5,Yes,High School,Yes,7.7,B,Poor
210,Female,22,10,83.3,2.7,6.2,81.2,91.6,45.2,Yes,Secondary,Yes,7.5,D,Poor
211,Female,20,11,90.6,3.7,9.7,54.9,76.1,83.3,No,High School,No,5.2,B,Poor
212,Female,21,9,90.3,9.7,3.6,63.2,54.5,78.3,Yes,High School,No,9.6,B,Poor
213,Other,21,12,71.4,8.5,11.4,97.3,86.2,41.0,Yes,High School,No,5.3,A,Poor
214,Other,21,11,83.3,6.5,6.2,82.1,44.9,72.2,Yes,Bachelor,Yes,5.9,B,Poor
215,Other,17,11,72.6,8.0,12.5,80.9,44.0,81.9,Yes,High School,Yes,4.5,D,Poor
216,Female,16,9,68.9,9.2,11.1,47.2,82.5,82.1,Yes,Master,No,7.1,C,Poor
217,Female,17,10,88.7,10.6,11.0,47.1,94.0,60.1,No,Bachelor,Yes,5.6,A,Poor
218,Female,22,11,57.5,10.5,2.5,49.4,86.4,93.7,Yes,Secondary,Yes,4.3,A,Poor
219,Male,18,12,71.4,11.1,2.7,97.6,42.1,88.2,No,Secondary,No,5.5,C,Poor
220,Male,19,11,60.4,8.4,0.8,53.4,70.9,42.8,No,High School,No,9.2,C,Poor
221,Male,20,12,55.4,3.2,8.5,58.2,77.4,67.8,No,Secondary,Yes,4.9,D,Poor
222,Male,15,11,83.6,8.6,0.1,60.1,85.5,62.6,No,High School,Yes,7.2,B,Poor
223,Female,21,9,98.8,2.6,4.2,42.6,53.9,90.7,No,Bachelor,No,9.8,A,Poor
224,Other,16,10,83.7,5.3,8.9,43.7,79.7,47.8,No,Bachelor,No,9.6,D,Poor
225,Female,20,12,67.2,1.8,3.0,86.8,75.1,49.3,Yes,Master,No,5.9,A,Poor
226,Male,20,12,68.9,3.9,1.8,49.5,81.2,89.6,Yes,Secondary,No,4.9,B,Poor
227,Female,20,9,85.5,3.9,14.9,41.9,64.3,67.1,Yes,High School,No,4.6,B,Poor
228,Male,16,9,92.4,11.8,2.0,89.4,62.3,77.8,Yes,Bachelor,Yes,4.1,A,Poor
229,Other,18,12,91.4,2.0,12.7,88.5,47.4,96.5,Yes,Secondary,No,8.9,D,Poor
230,Male,22,12,85.7,2.9,3.2,51.2,56.8,93.0,Yes,Secondary,No,7.0,D,Poor
231,Male,15,11,72.2,5.6,9.6,87.8,54.9,99.6,Yes,Master,No,6.9,D,Poor
232,Other,20,11,72.5,3.0,4.8,53.1,93.7,86.7,Yes,Master,No,8.6,B,Poor
233,Male,17,10,84.6,3.9,12.2,95.0,43.4,99.8,Yes,Master,No,9.6,B,Poor
234,Male,17,11,91.3,8.7,13.7,41.7,82.0,96.9,Yes,Secondary,No,7.3,B,Poor
235,Male,22,9,57.5,7.6,0.3,68.7,59.9,76.8,Yes,Bachelor,Yes,9.5,C,Poor
236,Male,15,10,81.4,11.1,11.6,90.8,91.6,97.6,No,Master,Yes,6.0,C,Poor
237,Male,17,12,90.6,11.6,9.7,50.5,98.1,81.6,No,Secondary,Yes,6.3,C,Poor
238,Male,17,9,97.7,11.4,5.9,99.7,97.9,41.9,No,Secondary,Yes,9.6,B,Poor
239,Other,20,9,65.7,11.8,2.5,93.1,45.3,82.5,No,Master,Yes,5.6,B,Poor
240,Female,16,11,90.4,8.9,0.7,66.3,65.2,50.0,No,Master,No,6.1,D,Poor
241,Female,16,10,62.3,1.8,12.7,57.7,59.1,97.1,Yes,Bachelor,Yes,9.3,B,Poor
242,Other,16,9,70.2,11.8,13.4,82.3,65.9,79.2,No,Secondary,Yes,4.6,B,Poor
243,Female,18,11,84.7,4.3,1.4,63.6,73.0,69.5,Yes,Bachelor,Yes,6.6,C,Poor
244,Male,22,9,56.2,2.9,4.4,44.9,90.6,58.5,No,Master,No,9.4,C,Poor
245,Other,16,12,63.3,10.7,5.5,66.7,55.8,67.9,Yes,Bachelor,Yes,4.9,A,Poor
246,Other,16,11,91.4,5.6,11.3,53.7,43.7,63.2,No,Master,Yes,6.9,A,Poor
247,Other,21,9,77.6,10.9,12.0,80.7,77.2,47.2,No,Secondary,Yes,9.8,B,Poor
248,Male,17,12,58.5,8.5,3.0,89.4,48.9,75.7,No,High School,Yes,6.3,D,Poor
249,Female,20,12,96.3,1.1,10.5,75.3,86.9,46.8,Yes,Secondary,Yes,9.5,A,Poor
250,Other,19,11,94.5,3.9,9.8,74.3,68.4,50.3,No,Secondary,No,4.2,C,Poor
251,Male,18,12,96.4,10.9,0.3,89.0,58.2,56.8,No,High School,Yes,4.8,D,Poor
252,Female,20,12,82.2,2.0,6.6,94.8,64.4,69.1,No,High School,Yes,4.4,D,Poor
253,Other,17,9,62.8,10.6,3.0,43.5,42.0,43.0,No,Secondary,No,6.2,D,Poor
254,Other,21,9,85.7,3.7,7.3,66.8,97.6,68.5,No,Bachelor,Yes,9.0,C,Poor
255,Female,16,9,72.4,2.8,8.6,97.9,91.4,78.8,Yes,Bachelor,No,7.1,A,Poor
256,Male,22,10,82.1,1.1,3.8,88.3,58.3,98.0,No,Master,No,9.1,D,Poor
257,Male,19,12,68.6,6.7,9.4,75.1,40.4,100.0,No,Bachelor,No,8.1,D,Poor
258,Female,16,11,83.8,10.5,3.9,82.7,93.5,57.9,Yes,Secondary,Yes,8.8,D,Poor
