id,student_id,module_id,attendance_percentage,internal_marks,assignment_marks,quiz_marks,midterm_marks,final_exam_marks,total_marks,grade,result
74,15,67,73.97,26.56,18.71,11.46,32.3,68.31,74.53,A,Pass
75,15,70,68.51,23.82,14.96,13.68,30.53,36.02,56.81,B,Pass
76,15,69,66.2,18.46,19.24,10.88,33.2,24.94,50.6,B,Pass
77,16,65,80.5,31.15,22.46,16.87,33.26,54.56,75.09,A,Pass
78,16,68,94.87,29.13,19.57,15.82,31.78,54.32,71.54,A,Pass
79,16,69,93.45,31.97,18.33,15.04,37.6,55.89,75.72,A,Pass
80,16,70,91.46,30.32,24.61,19.31,41.2,50.7,78.93,A,Pass
81,16,66,84.8,34.5,22.09,19.99,33.87,72.84,87.01,A+,Pass
82,16,67,90.14,40.0,22.3,20.0,42.21,66.76,91.18,O,Pass
83,17,69,96.67,40.0,25.0,18.49,50.0,75.0,99.24,O,Pass
84,17,68,97.01,33.91,20.94,18.04,38.05,50.59,76.99,A,Pass
85,17,67,100.0,34.33,21.88,19.88,34.47,65.45,83.64,A+,Pass
86,17,65,95.7,32.31,24.77,20.0,48.56,71.91,93.9,O,Pass
87,18,88,30.0,19.94,14.17,3.52,25.52,38.32,48.04,C,Pass
88,18,81,50.48,23.1,21.64,5.47,25.94,47.22,57.95,B,Pass
89,18,89,52.4,19.65,6.05,4.93,20.17,35.11,41.18,C,Pass
90,18,82,43.49,28.39,15.01,11.6,27.79,51.1,63.74,B+,Pass
91,18,93,40.28,21.82,11.36,8.43,31.62,38.23,53.32,B,Pass
92,19,51,67.13,25.04,15.56,12.13,35.15,43.9,62.87,B+,Pass
93,19,59,73.22,32.81,21.96,10.73,39.35,58.93,77.73,A,Pass
94,19,62,67.01,32.72,19.63,15.15,35.92,53.63,74.77,A,Pass
95,19,61,67.62,25.43,17.04,15.53,39.75,52.66,71.75,A,Pass
96,19,56,70.72,35.05,18.74,16.82,39.7,51.67,77.39,A,Pass
97,19,49,59.64,37.56,17.21,16.14,44.5,56.5,82.36,A+,Pass
98,20,67,61.97,30.36,20.35,16.33,40.75,60.31,80.01,A+,Pass
99,20,65,60.6,27.96,19.11,17.17,32.55,49.93,69.79,B+,Pass
100,20,70,53.81,20.98,13.14,10.77,34.22,40.39,57.09,B,Pass
101,20,68,65.48,24.94,16.14,10.0,29.82,61.14,67.36,B+,Pass
102,21,99,65.19,31.01,25.0,13.9,47.95,58.8,83.87,A+,Pass
103,21,98,61.68,26.19,12.69,11.8,22.22,50.13,58.57,B,Pass
104,21,105,68.53,18.94,18.92,5.68,28.84,49.51,57.4,B,Pass
105,21,107,62.6,22.84,20.93,14.38,30.98,59.69,70.32,A,Pass
106,21,102,65.54,23.75,14.68,11.04,35.03,60.76,69.14,B+,Pass
107,22,71,86.87,40.0,22.13,17.24,37.53,73.72,90.64,O,Pass
108,22,66,90.87,40.0,18.75,13.97,37.32,46.0,74.61,A,Pass
109,22,65,92.09,33.86,16.3,15.67,41.38,66.78,83.14,A+,Pass
110,22,75,85.94,35.04,24.54,16.39,48.2,59.78,87.53,A+,Pass
111,22,68,88.85,30.71,25.0,20.0,48.77,75.0,94.74,O,Pass
112,23,54,87.44,34.09,23.92,17.75,49.08,66.57,91.1,O,Pass
113,23,62,84.28,32.98,21.26,18.85,43.99,61.29,85.02,A+,Pass
114,23,60,93.01,29.14,25.0,10.04,46.79,58.01,80.06,A+,Pass
115,23,50,91.23,36.43,23.55,19.88,40.69,69.46,90.33,O,Pass
116,23,52,89.38,32.54,21.2,15.83,33.69,59.31,77.19,A,Pass
117,23,55,98.17,30.02,14.32,11.46,37.2,55.83,71.13,A,Pass
118,24,18,69.55,26.29,19.62,19.9,38.83,59.57,78.16,A,Pass
119,24,22,72.09,37.24,25.0,19.14,43.57,74.9,94.93,O,Pass
120,24,20,81.19,38.03,18.86,19.33,40.59,53.68,81.57,A+,Pass
121,24,19,77.54,40.0,19.13,20.0,35.92,73.27,89.81,A+,Pass
122,24,17,75.36,33.94,24.28,13.2,41.66,58.02,81.19,A+,Pass
123,25,4,56.06,26.33,12.64,9.95,28.94,39.52,56.11,B,Pass
124,25,13,61.17,29.13,21.07,11.76,35.63,66.41,77.67,A,Pass
125,25,5,58.37,28.38,18.47,10.36,34.75,56.63,70.56,A,Pass
126,25,8,56.79,25.32,14.69,10.8,32.95,56.18,66.63,B+,Pass
127,26,54,88.15,36.75,25.0,15.15,40.21,60.41,84.24,A+,Pass
128,26,51,88.3,30.78,20.55,20.0,41.52,45.56,75.63,A,Pass
129,26,57,87.71,29.81,18.74,15.91,39.54,56.68,76.57,A,Pass
130,26,56,80.16,33.13,22.62,17.75,38.04,57.06,80.13,A+,Pass
131,26,53,92.52,21.71,14.31,15.66,38.28,41.81,63.06,B+,Pass
132,27,54,71.15,29.83,22.43,14.66,34.49,57.34,75.22,A,Pass
133,27,59,64.7,24.93,22.86,11.62,36.98,44.0,66.44,B+,Pass
134,27,50,67.7,30.68,18.25,16.55,37.83,61.2,78.39,A,Pass
135,27,53,71.41,31.19,19.93,12.94,32.59,62.93,75.69,A,Pass
136,28,81,66.06,32.08,21.18,12.78,32.32,60.38,75.24,A,Pass
137,28,86,67.8,22.15,14.54,8.38,38.63,55.39,66.25,B+,Pass
138,28,82,71.55,20.94,18.49,10.5,38.87,52.65,67.12,B+,Pass
139,28,84,67.19,28.5,14.63,17.16,35.72,57.76,73.5,A,Pass
140,28,83,69.31,23.07,13.73,10.85,25.92,57.65,62.31,B+,Pass
141,28,85,69.84,33.37,16.8,10.8,40.68,51.36,73.11,A,Pass
142,29,67,66.01,38.2,20.46,13.35,49.72,67.83,90.47,O,Pass
143,29,69,73.23,28.28,18.64,19.01,26.45,48.3,66.87,B+,Pass
144,29,68,69.92,23.38,20.44,10.56,28.47,49.98,62.7,B+,Pass
145,29,65,80.96,35.55,20.26,17.18,42.36,70.21,88.42,A+,Pass
146,30,71,82.94,37.63,18.96,11.9,42.46,64.62,83.73,A+,Pass
147,30,69,78.13,18.49,15.08,10.25,24.86,46.1,54.35,B,Pass
148,30,65,80.64,27.06,22.25,14.93,37.95,64.38,78.91,A,Pass
149,30,66,80.21,23.72,18.31,19.81,42.76,53.49,75.43,A,Pass
150,30,68,82.22,25.68,15.88,11.96,36.92,43.98,64.16,B+,Pass
151,30,72,81.55,27.98,23.3,20.0,50.0,67.66,89.89,A+,Pass
152,31,40,62.82,23.05,15.09,13.74,31.73,59.73,68.17,B+,Pass
153,31,36,63.73,26.74,17.61,9.92,31.79,45.87,62.67,B+,Pass
154,31,35,64.05,14.58,18.13,4.42,27.4,49.31,53.46,B,Pass
155,31,41,61.54,22.58,14.24,9.35,24.33,29.66,47.66,C,Pass
156,32,101,69.79,38.79,19.84,12.44,44.45,53.13,80.57,A+,Pass
157,32,99,64.97,24.89,16.33,18.5,29.2,58.97,70.35,A,Pass
158,32,97,75.65,30.16,11.45,11.67,32.17,39.58,60.05,B+,Pass
159,32,100,67.76,31.7,21.33,14.59,41.0,57.08,78.82,A,Pass
160,33,33,74.73,25.36,16.42,10.38,34.11,41.17,60.7,B+,Pass
161,33,36,69.71,30.46,16.44,15.54,41.56,64.83,80.61,A+,Pass
162,33,35,71.78,21.9,15.77,6.36,23.79,44.38,53.05,B,Pass
163,33,37,77.84,32.2,20.0,15.66,37.34,59.62,78.42,A,Pass
164,34,97,60.31,31.95,22.27,13.0,29.55,60.0,74.16,A,Pass
165,34,102,57.89,21.51,12.23,13.63,22.0,44.17,54.07,B,Pass
166,34,98,57.33,30.96,18.02,10.72,29.88,52.08,67.29,B+,Pass
167,34,99,67.33,26.4,15.79,12.57,45.61,37.94,66.31,B+,Pass
168,35,82,55.14,29.43,16.92,13.68,36.28,48.86,69.26,B+,Pass
169,35,89,70.01,16.99,20.58,20.0,33.32,44.24,64.03,B+,Pass
170,35,86,59.71,23.77,12.43,10.53,22.7,38.59,51.47,B,Pass
171,35,81,61.07,16.67,13.01,10.35,28.91,52.28,57.57,B,Pass
172,36,76,78.88,27.9,16.01,20.0,33.58,46.93,69.05,B+,Pass
173,36,71,80.04,37.4,20.28,19.16,39.34,54.87,81.67,A+,Pass
174,36,80,89.64,34.03,22.0,17.67,33.1,56.24,77.44,A,Pass
175,36,79,86.39,36.65,25.0,19.56,50.0,65.16,93.51,O,Pass
176,36,67,86.52,34.88,20.98,13.32,43.85,51.79,78.58,A,Pass
177,37,23,69.1,25.93,21.24,20.0,43.53,49.93,76.53,A,Pass
178,37,28,70.6,32.99,15.55,14.27,40.19,48.44,72.56,A,Pass
179,37,20,63.7,27.81,13.63,16.63,32.22,54.76,69.34,B+,Pass
180,37,25,61.61,24.69,20.08,14.45,40.85,62.73,77.3,A,Pass
181,37,26,65.51,29.95,20.37,7.19,37.51,40.59,64.41,B+,Pass
182,37,17,63.93,36.45,19.81,12.32,37.62,63.51,80.76,A+,Pass
183,38,84,100.0,32.29,20.54,14.27,44.55,64.21,83.74,A+,Pass
184,38,88,94.63,26.55,19.78,16.95,32.07,59.56,73.49,A,Pass
185,38,81,88.35,40.0,23.51,19.93,36.36,66.52,88.59,A+,Pass
186,38,87,96.74,37.27,20.91,15.14,40.34,61.99,83.67,A+,Pass
187,38,82,96.04,32.35,20.88,15.7,29.38,51.42,71.06,A,Pass
188,39,97,90.36,30.31,16.4,9.68,35.89,55.92,70.6,A,Pass
189,39,101,88.38,23.4,13.25,12.6,27.25,40.98,56.05,B,Pass
190,39,98,88.38,19.18,13.15,13.35,29.34,57.46,63.01,B+,Pass
191,39,100,90.12,33.04,17.76,13.07,30.08,43.52,65.51,B+,Pass
192,39,99,83.25,34.76,15.04,14.92,44.26,58.0,80.05,A+,Pass
193,40,67,99.65,40.0,22.46,18.04,40.0,75.0,93.01,O,Pass
194,40,65,95.5,33.97,23.57,15.16,44.46,69.08,88.46,A+,Pass
195,40,69,90.69,32.85,19.67,13.14,44.0,64.84,83.12,A+,Pass
196,40,68,97.83,36.3,20.38,19.87,40.96,61.56,85.45,A+,Pass
197,40,71,100.0,30.59,20.24,12.45,43.18,73.74,85.62,A+,Pass
198,40,66,96.79,34.26,24.65,20.0,36.48,65.97,86.01,A+,Pass
199,41,109,30.41,21.27,10.27,11.79,26.68,50.82,57.7,B,Pass
200,41,103,35.62,18.49,3.75,4.4,24.81,37.85,43.01,C,Pass
201,41,105,39.98,20.65,16.27,2.0,32.23,32.14,48.95,C,Pass
202,41,100,39.26,10.41,10.96,12.16,20.77,43.2,46.22,C,Pass
203,42,49,63.01,32.49,15.3,15.97,37.61,60.22,77.26,A,Pass
204,42,56,65.37,18.39,20.65,8.03,21.48,39.53,50.65,B,Pass
205,42,54,61.78,34.8,16.61,12.4,30.71,47.58,67.8,B+,Pass
206,42,55,56.76,16.39,15.36,14.79,27.66,35.79,52.27,B,Pass
207,43,52,63.22,23.13,18.25,8.44,43.1,43.93,65.14,B+,Pass
208,43,56,60.47,25.01,23.55,12.2,33.92,47.67,67.23,B+,Pass
209,43,55,59.95,30.25,17.58,11.26,33.61,40.69,63.58,B+,Pass
210,43,61,57.96,30.89,14.58,14.73,48.07,62.81,81.99,A+,Pass
211,43,59,61.07,22.01,20.49,16.74,43.9,57.95,76.57,A,Pass
212,43,53,59.99,25.86,18.54,13.14,28.45,53.9,66.3,B+,Pass
213,44,73,66.96,28.46,20.46,11.72,22.4,46.17,61.02,B+,Pass
214,44,66,61.96,17.22,18.09,13.62,30.41,43.15,58.0,B,Pass
215,44,74,66.26,27.53,13.89,12.9,17.3,43.91,54.91,B,Pass
216,44,71,63.98,25.46,13.33,12.04,23.96,24.73,47.61,C,Pass
217,44,75,68.48,21.45,17.48,10.15,20.8,38.56,51.19,B,Pass
218,45,34,92.32,37.4,24.78,18.52,50.0,67.98,94.6,O,Pass
219,45,39,99.22,25.58,25.0,12.45,47.18,67.9,84.29,A+,Pass
220,45,44,99.86,32.22,21.35,18.83,42.02,55.11,80.79,A+,Pass
221,45,41,96.02,38.85,24.4,15.6,41.57,64.76,87.99,A+,Pass
222,45,40,92.41,40.0,25.0,20.0,45.53,57.72,89.7,A+,Pass
223,46,51,70.92,36.06,18.46,17.2,34.85,60.75,79.79,A,Pass
224,46,53,68.13,33.88,21.21,20.0,32.22,58.81,78.98,A,Pass
225,46,52,76.5,34.47,21.15,13.49,42.66,45.86,75.18,A,Pass
226,46,49,65.77,28.59,19.94,5.27,41.73,53.2,70.6,A,Pass
227,47,98,90.32,33.59,22.0,15.11,39.63,63.27,82.5,A+,Pass
228,47,102,97.36,33.87,22.94,10.81,48.44,59.53,83.52,A+,Pass
229,47,101,98.12,31.96,15.58,14.89,36.38,53.57,72.85,A,Pass
230,47,97,95.02,35.76,20.62,15.61,45.71,60.86,85.19,A+,Pass
231,47,99,96.11,31.46,19.88,15.87,41.07,74.66,86.99,A+,Pass
232,47,100,93.31,40.0,18.8,15.82,46.02,67.14,89.77,A+,Pass
233,48,25,68.26,23.33,16.04,12.01,21.55,52.5,59.36,B,Pass
234,48,18,84.34,27.0,19.23,16.19,41.09,60.03,77.85,A,Pass
235,48,26,78.91,24.94,17.28,9.02,25.23,66.32,67.45,B+,Pass
236,48,22,85.32,36.63,23.99,19.6,50.0,58.21,89.87,A+,Pass
237,48,23,79.41,29.53,16.16,11.73,40.5,43.94,67.85,B+,Pass
238,49,70,60.33,27.94,19.66,15.22,38.7,68.81,80.9,A+,Pass
239,49,65,58.11,34.78,23.83,9.28,41.44,51.7,76.41,A,Pass
240,49,69,56.47,23.7,14.33,12.99,42.17,43.68,65.55,B+,Pass
241,49,67,62.1,28.38,14.33,13.84,30.81,45.62,63.53,B+,Pass
242,49,68,58.91,28.43,17.62,17.23,39.8,63.34,79.34,A,Pass
243,50,64,66.51,30.15,16.85,12.46,36.85,62.92,75.83,A,Pass
244,50,55,62.85,29.26,25.0,15.27,33.62,46.3,70.68,A,Pass
245,50,52,67.25,26.68,13.79,11.76,23.93,45.89,58.12,B,Pass
246,50,58,62.75,37.29,16.53,15.98,41.41,54.57,79.41,A,Pass
247,50,53,58.29,34.08,17.35,15.77,38.39,47.76,73.35,A,Pass
248,51,72,62.43,31.13,18.04,14.49,34.84,40.99,66.57,B+,Pass
249,51,71,66.53,28.49,17.35,14.6,37.56,53.65,72.29,A,Pass
250,51,76,72.11,31.93,17.01,17.74,37.54,56.59,76.82,A,Pass
251,51,68,70.4,35.67,14.24,14.31,37.43,43.24,69.58,B+,Pass
252,51,74,71.81,22.52,14.75,11.01,33.46,41.35,58.69,B,Pass
253,52,52,92.11,39.77,25.0,19.33,38.74,75.0,93.92,O,Pass
254,52,53,97.84,40.0,25.0,20.0,48.24,75.0,99.12,O,Pass
255,52,51,92.24,31.73,25.0,19.26,31.15,75.0,86.07,A+,Pass
256,52,49,94.24,37.36,25.0,20.0,45.07,70.08,93.92,O,Pass
257,53,83,94.56,30.79,24.19,16.24,32.82,47.01,71.53,A,Pass
258,53,85,90.87,28.55,16.99,14.29,41.19,41.65,68.24,B+,Pass
259,53,84,93.57,31.16,23.7,16.14,35.56,49.44,73.99,A,Pass
260,53,81,98.39,30.37,23.95,16.0,45.52,50.76,79.21,A,Pass
261,54,21,90.66,28.31,19.76,14.79,41.0,52.62,74.51,A,Pass
262,54,18,85.27,28.52,15.84,11.78,39.5,45.39,67.41,B+,Pass
263,54,20,92.22,27.08,20.25,12.31,29.59,40.75,61.61,B+,Pass
264,54,17,81.46,36.05,17.64,20.0,50.0,47.29,82.15,A+,Pass
265,54,19,91.01,28.4,18.75,11.26,42.34,49.37,71.54,A,Pass
266,54,22,85.87,21.16,20.96,10.81,34.44,44.67,62.43,B+,Pass
267,55,54,79.19,19.61,12.68,7.21,35.61,66.78,67.46,B+,Pass
268,55,51,84.36,25.61,17.67,16.1,26.55,45.02,62.21,B+,Pass
269,55,53,83.94,32.94,21.27,17.52,44.22,62.12,84.83,A+,Pass
270,55,55,83.17,27.85,15.29,13.73,33.85,39.44,62.24,B+,Pass
271,55,61,86.12,32.6,21.64,14.55,34.49,61.6,78.23,A,Pass
272,56,99,69.34,21.74,8.4,11.56,31.21,43.89,56.1,B,Pass
273,56,110,77.92,28.07,14.97,11.46,24.92,39.68,56.73,B,Pass
274,56,100,81.31,25.25,16.26,11.33,30.89,40.63,59.2,B,Pass
275,56,109,65.72,22.92,15.46,8.4,27.12,38.73,53.47,B,Pass
276,56,112,79.18,23.83,25.0,10.51,31.01,53.0,67.41,B+,Pass
277,57,68,84.63,28.69,19.12,11.62,50.0,59.38,80.51,A+,Pass
278,57,67,81.44,28.45,13.41,9.18,35.45,57.77,68.86,B+,Pass
279,57,65,85.18,32.62,21.2,19.74,34.53,54.68,77.44,A,Pass
280,57,69,84.27,29.88,18.7,16.93,27.86,43.22,64.98,B+,Pass
281,58,34,73.91,16.52,10.81,16.44,34.51,50.6,61.68,B+,Pass
282,58,36,81.95,33.31,19.24,20.0,47.27,58.48,85.28,A+,Pass
283,58,47,64.94,35.75,18.78,20.0,45.18,44.4,78.7,A,Pass
284,58,41,79.19,28.2,17.42,16.97,32.0,51.21,69.45,B+,Pass
285,59,100,79.84,40.0,22.4,19.39,50.0,60.23,91.77,O,Pass
286,59,105,70.05,29.07,15.93,17.48,36.95,49.12,71.05,A,Pass
287,59,104,69.0,36.59,19.36,12.96,45.12,57.5,81.92,A+,Pass
288,59,107,81.29,33.42,19.47,14.72,36.29,53.72,75.07,A,Pass
289,59,110,69.78,33.61,19.41,17.59,41.05,55.7,79.88,A,Pass
290,59,98,75.44,25.52,23.3,13.51,39.47,41.62,67.99,B+,Pass
291,60,74,81.81,36.18,20.98,17.8,42.46,68.21,88.44,A+,Pass
292,60,66,76.52,39.75,22.26,20.0,48.95,66.98,94.51,O,Pass
293,60,65,78.59,36.57,20.32,18.85,41.41,71.0,89.67,A+,Pass
294,60,68,79.91,31.9,21.37,16.2,35.85,66.57,81.59,A+,Pass
295,60,71,81.78,26.03,19.62,20.0,38.42,59.4,77.79,A,Pass
296,60,72,77.86,40.0,25.0,15.76,45.34,70.59,93.49,O,Pass
297,61,100,46.03,20.47,16.22,11.54,20.83,49.46,55.98,B,Pass
298,61,101,56.82,18.44,15.25,8.22,38.22,43.44,58.81,B,Pass
299,61,104,46.67,19.54,12.85,3.85,30.07,39.04,50.09,B,Pass
300,61,103,57.99,22.73,16.97,9.6,26.38,54.49,61.57,B+,Pass
301,61,97,50.42,13.54,8.68,6.74,29.14,37.72,45.79,C,Pass
302,62,65,43.67,9.25,8.75,10.34,22.4,32.66,39.73,F,Fail
303,62,68,35.18,28.68,14.18,9.23,25.74,43.98,58.02,B,Pass
304,62,69,41.97,20.74,11.94,11.25,23.55,43.46,52.83,B,Pass
305,62,67,40.77,21.6,12.44,13.7,31.68,36.28,55.39,B,Pass
306,63,33,52.42,27.26,17.85,10.99,29.41,38.82,59.08,B,Pass
307,63,42,47.96,21.66,13.66,13.39,29.65,33.4,53.4,B,Pass
308,63,39,47.26,20.36,11.97,12.65,35.84,44.51,59.98,B,Pass
309,63,41,50.43,17.18,17.91,11.07,27.72,52.01,59.42,B,Pass
310,64,49,91.87,29.16,21.92,16.5,43.75,56.89,80.02,A+,Pass
311,64,54,90.58,31.61,22.09,11.36,44.9,74.59,87.58,A+,Pass
312,64,50,84.61,32.93,18.43,15.05,33.94,50.35,71.83,A,Pass
313,64,53,85.28,27.92,20.18,20.0,37.5,49.78,74.01,A,Pass
314,64,60,81.5,27.11,20.68,13.99,36.27,59.23,74.6,A,Pass
315,65,101,61.77,30.15,20.49,6.82,38.48,43.92,66.42,B+,Pass
316,65,100,70.97,24.9,24.63,11.26,31.68,42.62,63.66,B+,Pass
317,65,97,69.66,24.42,21.52,14.32,33.8,46.58,66.62,B+,Pass
318,65,99,67.1,31.33,23.35,18.33,45.09,71.52,90.09,O,Pass
319,66,85,66.27,34.43,22.58,16.97,37.87,53.69,78.72,A,Pass
320,66,83,71.33,23.61,19.94,17.69,26.5,53.55,66.87,B+,Pass
321,66,84,64.07,39.88,23.59,20.0,38.59,75.0,93.67,O,Pass
322,66,81,71.55,27.18,18.71,10.59,27.51,52.27,64.52,B+,Pass
323,67,84,40.01,20.16,10.61,13.06,28.82,30.43,49.47,C,Pass
324,67,83,43.19,21.58,11.92,7.03,23.77,32.92,46.32,C,Pass
325,67,81,36.99,24.05,17.44,11.36,33.27,39.2,59.61,B,Pass
326,67,85,39.3,17.68,11.81,14.21,23.98,27.7,45.59,C,Pass
327,68,55,70.98,22.97,16.57,13.33,33.02,53.83,66.41,B+,Pass
328,68,60,73.23,31.19,21.07,12.36,41.01,49.7,73.91,A,Pass
329,68,51,74.39,32.64,14.84,18.06,39.77,59.25,78.82,A,Pass
330,68,56,76.69,31.4,18.97,17.83,30.8,47.14,69.6,B+,Pass
331,68,63,76.87,31.56,14.53,10.99,35.07,40.96,63.74,B+,Pass
332,69,100,73.85,31.37,12.92,10.38,24.56,47.47,60.47,B+,Pass
333,69,97,69.77,25.13,18.36,15.47,40.78,45.31,69.19,B+,Pass
334,69,101,70.53,19.66,21.14,14.0,35.72,55.56,69.07,B+,Pass
335,69,99,65.17,28.58,17.61,7.73,40.19,45.17,66.38,B+,Pass
336,70,111,53.55,24.28,14.82,14.5,32.11,50.32,64.86,B+,Pass
337,70,97,46.95,22.84,18.19,12.94,33.21,40.51,60.67,B+,Pass
338,70,100,50.34,31.55,18.89,15.01,25.91,60.1,71.84,A,Pass
339,70,108,53.97,22.7,9.49,10.99,21.06,51.02,54.98,B,Pass
340,70,99,43.57,27.88,15.6,13.97,30.56,54.9,68.07,B+,Pass
341,70,104,40.9,21.18,17.23,10.6,37.91,39.11,59.99,B,Pass
342,71,17,81.79,32.61,16.95,13.5,49.54,57.44,81.41,A+,Pass
343,71,28,66.18,23.52,15.5,15.26,42.37,58.95,74.29,A,Pass
